,IP,Throughput(MB/s),IP in 32 bit
825,173.254.28.89,18.68,10101101111111100001110001011001
826,173.254.28.92,0.12,10101101111111100001110001011100
827,173.254.29.233,9.95,10101101111111100001110111101001
828,173.254.30.120,6.13,10101101111111100001111001111000
829,173.254.54.99,0.64,10101101111111100011011001100011
830,173.254.55.43,0.45,10101101111111100011011100101011
831,173.255.144.28,0.54,10101101111111111001000000011100
832,174.129.95.29,1.8,10101110100000010101111100011101
833,174.136.17.140,0.23,10101110100010000001000110001100
834,174.141.229.11,11.4,10101110100011011110010100001011
835,174.142.65.166,14.2,10101110100011100100000110100110
836,174.142.8.44,0.7,10101110100011100000100000101100
837,174.142.89.94,0.64,10101110100011100101100101011110
838,174.142.95.74,0.5,10101110100011100101111101001010
839,175.100.24.146,0.18,10101111011001000001100010010010
840,175.111.88.137,0.14,10101111011011110101100010001001
841,175.111.88.22,0.04,10101111011011110101100000010110
842,175.29.24.90,16.4,10101111000111010001100001011010
843,175.29.98.21,11.3,10101111000111010110001000010101
844,175.45.176.67,0.48,10101111001011011011000001000011
845,175.45.176.91,4.76,10101111001011011011000001011011
846,175.45.63.200,0.15,10101111001011010011111111001000
847,176.10.32.1,1.49,10110000000010100010000000000001
848,176.126.164.16,5.885,10110000011111101010010000010000
849,176.126.164.9,1.04,10110000011111101010010000001001
850,176.126.165.112,0.23,10110000011111101010010101110000
851,176.126.165.113,12.1,10110000011111101010010101110001
852,176.126.165.117,0.31,10110000011111101010010101110101
853,176.126.165.133,6.87,10110000011111101010010110000101
854,176.126.165.15,0.37,10110000011111101010010100001111
855,176.126.167.90,0.7,10110000011111101010011101011010
856,176.28.19.71,0.94,10110000000111000001001101000111
857,176.31.238.193,3.03,10110000000111111110111011000001
858,176.31.248.144,1.21,10110000000111111111100010010000
859,176.34.241.253,0.19,10110000001000101111000111111101
860,176.53.160.116,5.23,10110000001101011010000001110100
861,176.58.116.55,4.08,10110000001110100111010000110111
862,176.62.168.33,4.94,10110000001111101010100000100001
863,176.74.19.166,28.1,10110000010010100001001110100110
864,176.9.103.235,2.71,10110000000010010110011111101011
865,176.9.137.132,5.05,10110000000010011000100110000100
866,176.9.214.218,2.32,10110000000010011101011011011010
867,176.9.22.56,2.98,10110000000010010001011000111000
868,176.9.237.235,1.39,10110000000010011110110111101011
869,176.9.61.4,0.76,10110000000010010011110100000100
870,176.99.2.12,4.22,10110000011000110000001000001100
871,177.185.194.161,12.6,10110001101110011100001010100001
872,177.73.233.244,0.08,10110001010010011110100111110100
873,177.84.130.164,0.19,10110001010101001000001010100100
874,178.124.141.131,6.62,10110010011111001000110110000011
875,178.128.174.245,31.2,10110010100000001010111011110101
876,178.128.250.202,5.93,10110010100000001111101011001010
877,178.128.51.179,1.41,10110010100000000011001110110011
878,178.135.58.242,0.21,10110010100001110011101011110010
879,178.159.247.47,0.74,10110010100111111111011100101111
880,178.164.11.151,0.38,10110010101001000000101110010111
881,178.172.161.121,1.09,10110010101011001010000101111001
882,178.172.201.67,0.56,10110010101011001100100101000011
883,178.172.235.199,1.6875,10110010101011001110101111000111
884,178.208.37.220,0.98,10110010110100000010010111011100
885,178.209.43.117,7.0,10110010110100010010101101110101
886,178.213.130.220,0.885,10110010110101011000001011011100
887,178.217.169.190,1.69,10110010110110011010100110111110
888,178.217.169.28,0.22,10110010110110011010100100011100
889,178.218.164.110,1.52,10110010110110101010010001101110
890,178.218.166.212,6.2,10110010110110101010011011010100
891,178.218.167.186,9.76,10110010110110101010011110111010
892,178.218.172.36,7.295,10110010110110101010110000100100
893,178.218.173.20,0.59,10110010110110101010110100010100
894,178.218.174.68,26.6,10110010110110101010111001000100
895,178.238.236.196,3.390000000000001,10110010111011101110110011000100
896,178.238.238.153,7.5,10110010111011101110111010011001
897,178.32.121.163,1.15,10110010001000000111100110100011
898,178.32.127.185,12.0825,10110010001000000111111110111001
899,178.32.216.138,6.1,10110010001000001101100010001010
900,178.32.217.189,0.9,10110010001000001101100110111101
901,178.32.254.131,3.14,10110010001000001111111010000011
902,178.33.116.190,12.7,10110010001000010111010010111110
903,178.33.177.227,3.735,10110010001000011011000111100011
904,178.62.232.28,3.91,10110010001111101110100000011100
905,178.63.78.104,12.1,10110010001111110100111001101000
906,178.63.81.246,3.32,10110010001111110101000111110110
907,178.77.104.153,1.09,10110010010011010110100010011001
908,178.79.166.163,29.85,10110010010011111010011010100011
909,178.79.170.136,0.86,10110010010011111010101010001000
910,178.79.172.86,12.2,10110010010011111010110001010110
911,179.27.152.205,0.36,10110011000110111001100011001101
912,179.27.153.55,6.62,10110011000110111001100100110111
913,179.43.127.81,0.11,10110011001010110111111101010001
914,179.48.251.243,0.16,10110011001100001111101111110011
915,179.48.251.244,0.17,10110011001100001111101111110100
916,179.49.116.170,0.08,10110011001100010111010010101010
917,179.5.80.111,0.69,10110011000001010101000001101111
918,179.51.78.26,0.28,10110011001100110100111000011010
919,18.139.7.55,8.05,00010010100010110000011100110111
920,18.179.192.203,0.21,00010010101100111100000011001011
921,18.194.12.190,1.29,00010010110000100000110010111110
922,18.194.129.37,0.77,00010010110000101000000100100101
923,18.197.59.117,4.825,00010010110001010011101101110101
924,18.197.83.203,1.87,00010010110001010101001111001011
925,18.197.88.72,2.05,00010010110001010101100001001000
926,18.205.93.10,2.92,00010010110011010101110100001010
927,18.205.93.11,0.8,00010010110011010101110100001011
928,18.211.253.170,0.59,00010010110100111111110110101010
929,180.150.144.240,0.25,10110100100101101001000011110000
930,180.211.208.17,0.21,10110100110100111101000000010001
931,180.211.213.44,0.265,10110100110100111101010100101100
932,180.250.108.130,0.87,10110100111110100110110010000010
933,180.250.69.91,0.38,10110100111110100100010101011011
934,181.113.25.241,0.12,10110101011100010001100111110001
935,181.114.15.212,0.55,10110101011100100000111111010100
936,181.115.148.179,0.59,10110101011100111001010010110011
937,181.115.189.131,0.15,10110101011100111011110110000011
938,181.191.68.14,0.14,10110101101111110100010000001110
939,181.193.24.226,0.17,10110101110000010001100011100010
940,181.193.66.38,0.08,10110101110000010100001000100110
941,181.210.1.194,0.12,10110101110100100000000111000010
942,181.210.1.197,0.46,10110101110100100000000111000101
943,181.214.31.80,0.88,10110101110101100001111101010000
944,181.214.31.82,1.93,10110101110101100001111101010010
945,181.39.158.59,0.23,10110101001001111001111000111011
946,181.40.112.226,2.36,10110101001010000111000011100010
947,182.163.126.124,1.03,10110110101000110111111001111100
948,182.163.126.208,0.55,10110110101000110111111011010000
949,182.253.18.141,0.34,10110110111111010001001010001101
950,182.50.130.67,0.42,10110110001100101000001001000011
951,182.50.130.70,0.23,10110110001100101000001001000110
952,183.111.104.217,0.2,10110111011011110110100011011001
953,183.78.3.164,0.54,10110111010011100000001110100100
954,183.81.133.234,0.38,10110111010100011000010111101010
955,183.90.228.16,0.49,10110111010110101110010000010000
956,184.106.55.106,1.53,10111000011010100011011101101010
957,184.106.55.122,1.31,10111000011010100011011101111010
958,184.106.55.75,0.32,10111000011010100011011101001011
959,184.107.100.86,3.8,10111000011010110110010001010110
960,184.107.101.42,0.34,10111000011010110110010100101010
961,184.107.138.114,1.53,10111000011010111000101001110010
962,184.107.72.136,0.61,10111000011010110100100010001000
963,184.107.72.203,0.675,10111000011010110100100011001011
964,184.107.95.56,1.06,10111000011010110101111100111000
965,184.154.22.45,0.18,10111000100110100001011000101101
966,184.154.253.162,0.51,10111000100110101111110110100010
967,184.154.5.218,2.65,10111000100110100000010111011010
968,184.154.73.71,28.3,10111000100110100100100101000111
969,184.154.9.82,29.1,10111000100110100000100101010010
970,184.168.193.45,0.81,10111000101010001100000100101101
971,184.172.32.243,0.19,10111000101011000010000011110011
972,184.28.198.169,1.33,10111000000111001100011010101001
973,184.72.229.176,22.7,10111000010010001110010110110000
974,184.86.208.32,0.72,10111000010101101101000000100000
975,185.10.75.29,7.29,10111001000010100100101100011101
976,185.100.85.10,7.21,10111001011001000101010100001010
977,185.102.95.21,2.62,10111001011001100101111100010101
978,185.106.113.62,0.46,10111001011010100111000100111110
979,185.108.36.12,1.0,10111001011011000010010000001100
980,185.112.145.121,21.9,10111001011100001001000101111001
981,185.119.173.119,13.1,10111001011101111010110101110111
982,185.119.173.202,1.12,10111001011101111010110111001010
983,185.119.173.9,1.82,10111001011101111010110100001001
984,185.130.78.97,0.31,10111001100000100100111001100001
985,185.138.42.22,1.73,10111001100010100010101000010110
986,185.141.194.95,0.74,10111001100011011100001001011111
987,185.143.233.5,32.2,10111001100011111110100100000101
988,185.144.41.82,1.21,10111001100100000010100101010010
989,185.146.28.115,0.16,10111001100100100001110001110011
990,185.151.30.157,1.38,10111001100101110001111010011101
991,185.151.30.160,4.2200000000000015,10111001100101110001111010100000
992,185.152.70.101,6.41,10111001100110000100011001100101
993,185.152.70.30,3.1896153846153843,10111001100110000100011000011110
994,185.152.70.31,0.83,10111001100110000100011000011111
995,185.152.70.33,0.41,10111001100110000100011000100001
996,185.152.70.79,0.72,10111001100110000100011001001111
997,185.154.222.230,2.46,10111001100110101101111011100110
998,185.161.73.70,0.47,10111001101000010100100101000110
999,185.163.200.29,22.1,10111001101000111100100000011101
1000,185.164.32.124,0.13,10111001101001000010000001111100
1001,185.164.35.7,0.83,10111001101001000010001100000111
1002,185.168.212.4,0.07,10111001101010001101010000000100
1003,185.168.212.75,0.8,10111001101010001101010001001011
1004,185.169.68.32,0.96,10111001101010010100010000100000
1005,185.176.40.69,13.5,10111001101100000010100001000101
1006,185.176.42.54,2.77,10111001101100000010101000110110
1007,185.176.43.57,0.83,10111001101100000010101100111001
1008,185.176.43.58,1.17,10111001101100000010101100111010
1009,185.176.43.61,22.2,10111001101100000010101100111101
1010,185.176.43.63,6.83,10111001101100000010101100111111
1011,185.176.43.64,0.55,10111001101100000010101101000000
1012,185.179.190.53,2.68,10111001101100111011111000110101
1013,185.179.83.119,5.09,10111001101100110101001101110111
1014,185.180.80.70,0.93,10111001101101000101000001000110
1015,185.181.230.88,1.42,10111001101101011110011001011000
1016,185.181.231.148,0.55,10111001101101011110011110010100
1017,185.187.72.2,3.07,10111001101110110100100000000010
1018,185.187.73.162,0.02,10111001101110110100100110100010
1019,185.187.73.2,1.78,10111001101110110100100100000010
1020,185.195.12.172,0.55,10111001110000110000110010101100
1021,185.199.108.153,11.5,10111001110001110110110010011001
1022,185.199.109.153,8.203333333333335,10111001110001110110110110011001
1023,185.199.110.153,8.12,10111001110001110110111010011001
1024,185.199.111.153,10.88,10111001110001110110111110011001
1025,185.199.219.9,1.09,10111001110001111101101100001001
1026,185.2.4.87,0.8,10111001000000100000010001010111
1027,185.2.52.110,0.91,10111001000000100011010001101110
1028,185.20.49.72,3.18,10111001000101000011000101001000
1029,185.21.102.146,20.6,10111001000101010110011010010010
1030,185.212.108.129,7.28,10111001110101000110110010000001
1031,185.212.108.33,0.27,10111001110101000110110000100001
1032,185.216.77.132,3.12,10111001110110000100110110000100
1033,185.229.108.99,0.5,10111001111001010110110001100011
1034,185.239.173.226,36.6,10111001111011111010110111100010
1035,185.239.173.98,20.0,10111001111011111010110101100010
1036,185.240.248.17,19.6,10111001111100001111100000010001
1037,185.240.248.18,6.46,10111001111100001111100000010010
1038,185.240.248.20,7.37,10111001111100001111100000010100
1039,185.26.107.131,76.5,10111001000110100110101110000011
1040,185.26.107.141,0.61,10111001000110100110101110001101
1041,185.28.23.1,0.36,10111001000111000001011100000001
1042,185.28.245.139,1.125,10111001000111001111010110001011
1043,185.29.91.4,6.28,10111001000111010101101100000100
1044,185.31.240.26,0.91,10111001000111111111000000011010
1045,185.32.188.206,0.51,10111001001000001011110011001110
1046,185.33.104.157,1.28,10111001001000010110100010011101
1047,185.33.53.40,0.68,10111001001000010011010100101000
1048,185.33.54.12,2.52,10111001001000010011011000001100
1049,185.34.192.119,0.81,10111001001000101100000001110111
1050,185.4.133.172,0.6,10111001000001001000010110101100
1051,185.4.49.5,7.09,10111001000001000011000100000101
1052,185.42.173.111,0.22,10111001001010101010110101101111
1053,185.46.34.156,0.58,10111001001011100010001010011100
1054,185.49.20.101,2.36,10111001001100010001010001100101
1055,185.5.53.12,0.67,10111001000001010011010100001100
1056,185.5.53.23,0.54,10111001000001010011010100010111
1057,185.52.101.71,1.58,10111001001101000110010101000111
1058,185.53.59.4,1.42,10111001001101010011101100000100
1059,185.55.224.212,0.87,10111001001101111110000011010100
1060,185.55.227.74,12.2,10111001001101111110001101001010
1061,185.58.73.152,0.64,10111001001110100100100110011000
1062,185.58.73.33,6.55,10111001001110100100100100100001
1063,185.58.73.34,7.45,10111001001110100100100100100010
1064,185.60.232.71,1.905,10111001001111001110100001000111
1065,185.61.152.49,20.1,10111001001111011001100000110001
1066,185.62.73.18,1.49,10111001001111100100100100010010
1067,185.64.24.112,0.19,10111001010000000001100001110000
1068,185.67.240.53,3.9,10111001010000111111000000110101
1069,185.68.16.17,2.84,10111001010001000001000000010001
1070,185.68.66.154,1.73,10111001010001000100001010011010
1071,185.7.128.55,0.48,10111001000001111000000000110111
1072,185.7.252.118,0.21,10111001000001111111110001110110
1073,185.70.76.135,1.55,10111001010001100100110010000111
1074,185.8.60.148,0.63,10111001000010000011110010010100
1075,185.80.0.50,0.69,10111001010100000000000000110010
1076,185.80.0.88,0.14,10111001010100000000000001011000
1077,185.81.142.177,0.48,10111001010100011000111010110001
1078,185.86.206.150,0.505,10111001010101101100111010010110
1079,185.90.59.42,44.0,10111001010110100011101100101010
1080,185.91.178.173,2.05,10111001010110111011001010101101
1081,185.92.195.40,3.65,10111001010111001100001100101000
1082,185.95.44.50,7.17,10111001010111110010110000110010
1083,185.96.205.116,0.7949999999999999,10111001011000001100110101110100
1084,185.96.5.99,4.39,10111001011000000000010101100011
1085,185.98.131.142,20.2,10111001011000101000001110001110
1086,185.98.7.149,0.21,10111001011000100000011110010101
1087,185.98.7.172,1.15,10111001011000100000011110101100
1088,185.98.7.186,1.1,10111001011000100000011110111010
1089,185.99.64.39,1.26,10111001011000110100000000100111
1090,186.1.31.40,0.6,10111010000000010001111100101000
1091,186.121.204.187,0.34,10111010011110011100110010111011
1092,186.121.243.146,0.31,10111010011110011111001110010010
1093,186.15.240.150,0.5650000000000001,10111010000011111111000010010110
1094,186.151.197.179,0.16,10111010100101111100010110110011
1095,186.151.197.25,0.12,10111010100101111100010100011001
1096,186.202.153.205,0.09,10111010110010101001100111001101
1097,186.3.64.163,0.33,10111010000000110100000010100011
1098,186.33.212.105,0.11,10111010001000011101010001101001
1099,186.46.113.76,0.1,10111010001011100111000101001100
1100,186.46.139.228,0.18,10111010001011101000101111100100
1101,186.46.236.198,0.11,10111010001011101110110011000110
1102,186.47.233.146,16.64,10111010001011111110100110010010
1103,186.64.104.5,0.04,10111010010000000110100000000101
1104,186.64.117.55,0.03,10111010010000000111010100110111
1105,186.74.32.228,0.365,10111010010010100010000011100100
1106,187.17.111.100,0.39,10111011000100010110111101100100
1107,187.248.23.141,0.12,10111011111110000001011110001101
1108,187.45.193.218,0.105,10111011001011011100000111011010
1109,187.45.240.64,0.52,10111011001011011111000001000000
1110,188.117.20.22,2.24,10111100011101010001010000010110
1111,188.121.43.14,23.6,10111100011110010010101100001110
1112,188.121.43.25,0.47,10111100011110010010101100011001
1113,188.130.11.63,53.8,10111100100000100000101100111111
1114,188.130.162.100,28.5,10111100100000101010001001100100
1115,188.130.25.102,0.32,10111100100000100001100101100110
1116,188.164.155.20,0.35,10111100101001001001101100010100
1117,188.165.143.4,0.8300000000000001,10111100101001011000111100000100
1118,188.165.216.79,3.02,10111100101001011101100001001111
1119,188.165.23.19,0.56,10111100101001010001011100010011
1120,188.165.249.112,7.88,10111100101001011111100101110000
1121,188.165.251.16,2.89,10111100101001011111101100010000
1122,188.165.46.1,2.51,10111100101001010010111000000001
1123,188.165.51.93,12.716666666666667,10111100101001010011001101011101
1124,188.166.61.248,1.39,10111100101001100011110111111000
1125,188.40.0.102,25.8,10111100001010000000000001100110
1126,188.40.126.199,4.9,10111100001010000111111011000111
1127,188.40.17.67,2.03,10111100001010000001000101000011
1128,188.40.199.153,1.95,10111100001010001100011110011001
1129,188.40.248.62,1.03,10111100001010001111100000111110
1130,188.93.230.15,1.06,10111100010111011110011000001111
1131,188.93.230.170,3.085,10111100010111011110011010101010
1132,188.93.231.95,1.17,10111100010111011110011101011111
1133,188.93.90.31,0.97,10111100010111010101101000011111
1134,188.93.95.68,0.89,10111100010111010101111101000100
1135,188.94.254.170,1.0,10111100010111101111111010101010
1136,188.94.91.71,0.95,10111100010111100101101101000111
1137,188.95.35.19,24.2,10111100010111110010001100010011
1138,189.3.93.48,0.09,10111101000000110101110100110000
1139,190.10.14.134,1.13,10111110000010100000111010000110
1140,190.104.233.116,0.28,10111110011010001110100101110100
1141,190.104.29.20,1.94,10111110011010000001110100010100
1142,190.104.31.15,0.33,10111110011010000001111100001111
1143,190.111.1.10,0.21,10111110011011110000000100001010
1144,190.112.225.79,3.25,10111110011100001110000101001111
1145,190.113.0.180,4.66,10111110011100010000000010110100
1146,190.120.10.123,0.62,10111110011110000000101001111011
1147,190.123.21.36,0.05,10111110011110110001010100100100
1148,190.129.69.119,0.59,10111110100000010100010101110111
1149,190.129.70.195,0.4,10111110100000010100011011000011
1150,190.129.72.228,0.09,10111110100000010100100011100100
1151,190.129.72.91,0.27,10111110100000010100100001011011
1152,190.130.17.249,0.2,10111110100000100001000111111001
1153,190.143.221.7,1.46,10111110100011111101110100000111
1154,190.169.30.132,0.21,10111110101010010001111010000100
1155,190.181.13.100,1.08,10111110101101010000110101100100
1156,190.185.100.40,0.08,10111110101110010110010000101000
1157,190.185.112.189,0.13,10111110101110010111000010111101
1158,190.187.112.90,0.05,10111110101110110111000001011010
1159,190.196.156.178,2.66,10111110110001001001110010110010
1160,190.210.186.30,0.13,10111110110100101011101000011110
1161,190.210.196.189,0.14,10111110110100101100010010111101
1162,190.211.243.159,0.49,10111110110100111111001110011111
1163,190.212.238.36,0.26,10111110110101001110111000100100
1164,190.213.5.186,0.17,10111110110101010000010110111010
1165,190.213.85.24,0.58,10111110110101010101010100011000
1166,190.241.14.132,0.36,10111110111100010000111010000100
1167,190.34.168.179,0.3,10111110001000101010100010110011
1168,190.4.183.145,0.16,10111110000001001011011110010001
1169,190.5.131.16,0.4,10111110000001011000001100010000
1170,190.5.131.23,0.27,10111110000001011000001100010111
1171,190.5.133.234,0.89,10111110000001011000010111101010
1172,190.5.133.238,0.67,10111110000001011000010111101110
1173,190.57.24.24,0.29,10111110001110010001100000011000
1174,190.6.81.213,0.46,10111110000001100101000111010101
1175,190.86.186.18,0.11,10111110010101101011101000010010
1176,190.86.223.123,0.12,10111110010101101101111101111011
1177,190.92.1.25,0.24,10111110010111000000000100011001
1178,190.92.1.91,1.52,10111110010111000000000101011011
1179,190.92.127.13,0.11,10111110010111000111111100001101
1180,190.92.127.14,2.5,10111110010111000111111100001110
1181,190.92.127.18,0.17500000000000002,10111110010111000111111100010010
1182,190.92.127.200,0.27,10111110010111000111111111001000
1183,190.92.127.203,0.12333333333333335,10111110010111000111111111001011
1184,190.92.127.205,0.15,10111110010111000111111111001101
1185,190.92.127.64,0.65,10111110010111000111111101000000
1186,190.92.18.85,0.85,10111110010111000001001001010101
1187,190.92.93.2,0.23,10111110010111000101110100000010
1188,190.98.22.142,1.42,10111110011000100001011010001110
1189,191.252.125.88,0.2,10111111111111000111110101011000
1190,192.100.171.15,0.66,11000000011001001010101100001111
1191,192.103.112.226,0.42,11000000011001110111000011100010
1192,192.115.80.245,0.42,11000000011100110101000011110101
1193,192.124.237.180,19.0,11000000011111001110110110110100
1194,192.124.249.103,6.07,11000000011111001111100101100111
1195,192.124.249.106,2.42,11000000011111001111100101101010
1196,192.124.249.118,0.94,11000000011111001111100101110110
1197,192.124.249.12,0.87,11000000011111001111100100001100
1198,192.124.249.120,0.76,11000000011111001111100101111000
1199,192.124.249.153,1.67,11000000011111001111100110011001
1200,192.124.249.164,5.369999999999999,11000000011111001111100110100100
1201,192.124.249.169,2.995,11000000011111001111100110101001
1202,192.124.249.5,32.15000000000001,11000000011111001111100100000101
1203,192.124.249.68,3.135,11000000011111001111100101000100
1204,192.140.57.10,0.39,11000000100011000011100100001010
1205,192.145.233.51,0.68,11000000100100011110100100110011
1206,192.145.235.142,1.76,11000000100100011110101110001110
1207,192.162.69.121,26.15,11000000101000100100010101111001
1208,192.162.71.173,2.38,11000000101000100100011110101101
1209,192.162.72.172,0.55,11000000101000100100100010101100
1210,192.163.246.118,0.62,11000000101000111111011001110110
1211,192.185.10.44,0.75,11000000101110010000101000101100
1212,192.185.111.189,0.59,11000000101110010110111110111101
1213,192.185.112.102,0.9,11000000101110010111000001100110
1214,192.185.117.253,0.63,11000000101110010111010111111101
1215,192.185.134.48,2.065,11000000101110011000011000110000
1216,192.185.139.78,45.4,11000000101110011000101101001110
1217,192.185.14.13,5.915,11000000101110010000111000001101
1218,192.185.148.210,36.7,11000000101110011001010011010010
1219,192.185.148.48,27.3,11000000101110011001010000110000
1220,192.185.15.19,1.31,11000000101110010000111100010011
1221,192.185.155.239,1.07,11000000101110011001101111101111
1222,192.185.158.221,0.51,11000000101110011001111011011101
1223,192.185.160.109,28.5,11000000101110011010000001101101
1224,192.185.161.150,0.19,11000000101110011010000110010110
1225,192.185.168.31,5.26,11000000101110011010100000011111
1226,192.185.171.219,0.395,11000000101110011010101111011011
1227,192.185.175.205,0.275,11000000101110011010111111001101
1228,192.185.175.209,0.31,11000000101110011010111111010001
1229,192.185.180.68,0.21,11000000101110011011010001000100
1230,192.185.180.73,7.1800000000000015,11000000101110011011010001001001
1231,192.185.190.95,0.24,11000000101110011011111001011111
1232,192.185.194.226,0.41,11000000101110011100001011100010
1233,192.185.195.240,0.34,11000000101110011100001111110000
1234,192.185.225.146,0.35,11000000101110011110000110010010
1235,192.185.27.192,0.5,11000000101110010001101111000000
1236,192.185.27.240,4.56,11000000101110010001101111110000
1237,192.185.27.25,0.39,11000000101110010001101100011001
1238,192.185.28.7,0.47,11000000101110010001110000000111
1239,192.185.3.142,0.62,11000000101110010000001110001110
1240,192.185.31.119,26.5,11000000101110010001111101110111
1241,192.185.33.66,0.8,11000000101110010010000101000010
1242,192.185.35.49,12.2,11000000101110010010001100110001
1243,192.185.35.90,0.22,11000000101110010010001101011010
1244,192.185.4.130,0.31,11000000101110010000010010000010
1245,192.185.41.198,1.1966666666666663,11000000101110010010100111000110
1246,192.185.44.208,3.44,11000000101110010010110011010000
1247,192.185.5.77,0.27,11000000101110010000010101001101
1248,192.185.5.81,0.68,11000000101110010000010101010001
1249,192.185.52.161,0.85,11000000101110010011010010100001
1250,192.185.52.187,0.28,11000000101110010011010010111011
1251,192.185.72.224,0.35,11000000101110010100100011100000
1252,192.185.72.71,0.83,11000000101110010100100001000111
1253,192.185.76.117,5.87,11000000101110010100110001110101
1254,192.185.85.61,0.61,11000000101110010101010100111101
1255,192.185.97.231,1.38,11000000101110010110000111100111
1256,192.185.97.51,1.51,11000000101110010110000100110011
1257,192.185.99.222,0.42,11000000101110010110001111011110
1258,192.186.240.180,0.58,11000000101110101111000010110100
1259,192.186.242.102,2.47,11000000101110101111001001100110
1260,192.186.246.68,1.43,11000000101110101111011001000100
1261,192.186.249.52,0.81,11000000101110101111100100110100
1262,192.188.46.4,0.08,11000000101111000010111000000100
1263,192.188.47.1,0.205,11000000101111000010111100000001
1264,192.188.59.56,0.62,11000000101111000011101100111000
1265,192.195.77.6,1.66,11000000110000110100110100000110
1266,192.206.5.35,0.23,11000000110011100000010100100011
1267,192.210.224.44,0.53,11000000110100101110000000101100
1268,192.241.128.150,0.6849999999999999,11000000111100011000000010010110
1269,192.241.134.228,2.47,11000000111100011000011011100100
1270,192.249.122.149,6.466666666666668,11000000111110010111101010010101
1271,192.251.238.162,0.55,11000000111110111110111010100010
1272,192.252.146.60,0.69,11000000111111001001001000111100
1273,192.254.185.27,19.495,11000000111111101011100100011011
1274,192.254.199.32,0.18,11000000111111101100011100100000
1275,192.254.218.5,0.19,11000000111111101101101000000101
1276,192.254.224.94,27.4,11000000111111101110000001011110
1277,192.254.232.124,0.915,11000000111111101110100001111100
1278,192.254.236.137,0.2,11000000111111101110110010001001
1279,192.29.58.165,1.55,11000000000111010011101010100101
1280,192.3.2.170,0.19,11000000000000110000001010101010
1281,192.3.201.105,0.36,11000000000000111100100101101001
1282,192.30.252.153,10.276666666666666,11000000000111101111110010011001
1283,192.30.252.154,3.11,11000000000111101111110010011010
1284,192.95.13.112,0.34,11000000010111110000110101110000
1285,192.95.5.67,1.35,11000000010111110000010101000011
1286,192.96.208.159,0.12,11000000011000001101000010011111
1287,192.96.211.16,5.64,11000000011000001101001100010000
1288,192.99.137.30,0.35,11000000011000111000100100011110
1289,192.99.18.229,0.99,11000000011000110001001011100101
1290,192.99.35.67,0.32,11000000011000110010001101000011
1291,193.104.165.51,0.84,11000001011010001010010100110011
1292,193.105.133.90,1.16,11000001011010011000010101011010
1293,193.105.99.203,0.435,11000001011010010110001111001011
1294,193.109.247.247,0.425,11000001011011011111011111110111
1295,193.111.11.11,0.03,11000001011011110000101100001011
1296,193.137.20.178,0.45,11000001100010010001010010110010
1297,193.137.236.180,0.51,11000001100010011110110010110100
1298,193.14.90.153,0.18,11000001000011100101101010011001
1299,193.140.83.215,0.59,11000001100011000101001111010111
1300,193.150.24.50,0.78,11000001100101100001100000110010
1301,193.166.18.143,1.27,11000001101001100001001010001111
1302,193.166.24.146,2.77,11000001101001100001100010010010
1303,193.167.215.46,0.915,11000001101001111101011100101110
1304,193.187.8.11,6.5,11000001101110110000100000001011
1305,193.188.46.240,0.93,11000001101111000010111011110000
1306,193.19.90.72,0.48,11000001000100110101101001001000
1307,193.190.242.17,5.86,11000001101111101111001000010001
1308,193.191.208.90,3.2,11000001101111111101000001011010
1309,193.194.140.2,1.98,11000001110000101000110000000010
1310,193.194.159.104,0.98,11000001110000101001111101101000
1311,193.194.69.98,0.09,11000001110000100100010101100010
1312,193.194.74.14,0.4,11000001110000100100101000001110
1313,193.194.74.74,0.59,11000001110000100100101001001010
1314,193.194.80.114,0.15,11000001110000100101000001110010
1315,193.194.80.36,0.17,11000001110000100101000000100100
1316,193.194.80.9,1.7,11000001110000100101000000001001
1317,193.194.82.40,0.77,11000001110000100101001000101000
1318,193.194.86.167,0.28500000000000003,11000001110000100101011010100111
1319,193.194.87.103,0.32,11000001110000100101011101100111
1320,193.194.90.27,0.87,11000001110000100101101000011011
1321,193.198.184.121,1.555,11000001110001101011100001111001
1322,193.198.194.21,0.86,11000001110001101100001000010101
1323,193.198.213.8,0.37,11000001110001101101010100001000
1324,193.198.233.130,0.66,11000001110001101110100110000010
1325,193.198.66.19,0.97,11000001110001100100001000010011
1326,193.2.250.22,1.63,11000001000000101111101000010110
1327,193.200.113.22,0.84,11000001110010000111000100010110
1328,193.203.241.81,2.1,11000001110010111111000101010001
1329,193.219.106.48,0.93,11000001110110110110101000110000
1330,193.224.106.238,7.59,11000001111000000110101011101110
1331,193.224.128.1,0.25,11000001111000001000000000000001
1332,193.225.40.110,0.6,11000001111000010010100001101110
1333,193.226.172.80,1.21,11000001111000101010110001010000
1334,193.226.64.163,0.75,11000001111000100100000010100011
1335,193.226.65.35,0.49,11000001111000100100000100100011
1336,193.227.1.95,0.57,11000001111000110000000101011111
1337,193.227.16.128,0.94,11000001111000110001000010000000
1338,193.227.187.164,0.99,11000001111000111011101110100100
1339,193.227.187.51,0.61,11000001111000111011101100110011
1340,193.227.19.100,0.93,11000001111000110001001101100100
1341,193.227.232.34,24.7,11000001111000111110100000100010
1342,193.227.31.6,1.435,11000001111000110001111100000110
1343,193.227.50.152,0.46,11000001111000110011001010011000
1344,193.227.61.27,0.89,11000001111000110011110100011011
1345,193.235.200.117,1.65,11000001111010111100100001110101
