,IP,Throughput(MB/s),IP in 32 bit
120,104.24.108.217,1.36,01101000000110000110110011011001
121,104.24.109.154,37.0,01101000000110000110110110011010
122,104.24.112.110,3.1,01101000000110000111000001101110
123,104.24.112.87,0.53,01101000000110000111000001010111
124,104.24.114.100,7.47,01101000000110000111001001100100
125,104.24.114.235,1.45,01101000000110000111001011101011
126,104.24.120.253,9.53,01101000000110000111100011111101
127,104.24.122.148,0.75,01101000000110000111101010010100
128,104.24.124.182,1.0,01101000000110000111110010110110
129,104.24.126.11,0.39,01101000000110000111111000001011
130,104.24.127.11,1.72,01101000000110000111111100001011
131,104.24.127.61,21.4,01101000000110000111111100111101
132,104.24.96.62,2.45,01101000000110000110000000111110
133,104.24.97.58,9.6,01101000000110000110000100111010
134,104.24.98.209,5.18,01101000000110000110001011010001
135,104.24.99.166,28.3,01101000000110000110001110100110
136,104.24.99.35,0.53,01101000000110000110001100100011
137,104.244.121.253,12.1,01101000111101000111100111111101
138,104.244.125.235,0.91,01101000111101000111110111101011
139,104.25.11.116,3.45,01101000000110010000101101110100
140,104.25.14.6,0.775,01101000000110010000111000000110
141,104.25.15.6,0.4,01101000000110010000111100000110
142,104.25.241.7,0.64,01101000000110011111000100000111
143,104.255.216.35,0.88,01101000111111111101100000100011
144,104.26.1.103,7.19,01101000000110100000000101100111
145,104.26.11.130,1.71,01101000000110100000101110000010
146,104.26.11.190,0.73,01101000000110100000101110111110
147,104.26.13.60,0.9233333333333332,01101000000110100000110100111100
148,104.26.13.89,7.17,01101000000110100000110101011001
149,104.26.14.10,4.16,01101000000110100000111000001010
150,104.26.14.193,9.53,01101000000110100000111011000001
151,104.26.14.242,2.65,01101000000110100000111011110010
152,104.26.15.16,3.73,01101000000110100000111100010000
153,104.26.15.39,4.5,01101000000110100000111100100111
154,104.26.5.93,5.75,01101000000110100000010101011101
155,104.27.129.145,4.37,01101000000110111000000110010001
156,104.27.129.247,0.52,01101000000110111000000111110111
157,104.27.131.158,0.11,01101000000110111000001110011110
158,104.27.134.103,1.88,01101000000110111000011001100111
159,104.27.134.67,1.21,01101000000110111000011001000011
160,104.27.135.219,1.76,01101000000110111000011111011011
161,104.27.140.133,36.8,01101000000110111000110010000101
162,104.27.142.21,0.67,01101000000110111000111000010101
163,104.27.146.230,3.49,01101000000110111001001011100110
164,104.27.146.31,1.59,01101000000110111001001000011111
165,104.27.146.94,1.84,01101000000110111001001001011110
166,104.27.147.182,0.36,01101000000110111001001110110110
167,104.27.151.227,15.9,01101000000110111001011111100011
168,104.27.151.45,3.21,01101000000110111001011100101101
169,104.27.153.87,4.69,01101000000110111001100101010111
170,104.27.157.55,3.2,01101000000110111001110100110111
171,104.27.158.143,6.69,01101000000110111001111010001111
172,104.27.161.230,3.63,01101000000110111010000111100110
173,104.27.166.113,1.55,01101000000110111010011001110001
174,104.27.166.87,0.62,01101000000110111010011001010111
175,104.27.167.87,0.29,01101000000110111010011101010111
176,104.27.169.77,1.71,01101000000110111010100101001101
177,104.27.170.19,0.4,01101000000110111010101000010011
178,104.27.170.52,2.67,01101000000110111010101000110100
179,104.27.171.247,1.22,01101000000110111010101111110111
180,104.27.179.15,1.84,01101000000110111011001100001111
181,104.27.184.44,2.04,01101000000110111011100000101100
182,104.27.185.58,3.47,01101000000110111011100100111010
183,104.28.10.71,3.94,01101000000111000000101001000111
184,104.28.11.170,0.05,01101000000111000000101110101010
185,104.28.12.156,1.29,01101000000111000000110010011100
186,104.28.12.85,0.78,01101000000111000000110001010101
187,104.28.12.9,1.65,01101000000111000000110000001001
188,104.28.13.35,8.52,01101000000111000000110100100011
189,104.28.14.174,0.53,01101000000111000000111010101110
190,104.28.14.46,0.73,01101000000111000000111000101110
191,104.28.16.133,29.6,01101000000111000001000010000101
192,104.28.16.73,1.27,01101000000111000001000001001001
193,104.28.17.118,1.51,01101000000111000001000101110110
194,104.28.18.219,1.765,01101000000111000001001011011011
195,104.28.20.6,1.4,01101000000111000001010000000110
196,104.28.22.90,1.37,01101000000111000001011001011010
197,104.28.23.25,0.71,01101000000111000001011100011001
198,104.28.23.4,3.96,01101000000111000001011100000100
199,104.28.26.198,4.72,01101000000111000001101011000110
200,104.28.26.26,0.75,01101000000111000001101000011010
201,104.28.27.43,48.1,01101000000111000001101100101011
202,104.28.28.120,3.27,01101000000111000001110001111000
203,104.28.29.120,0.35,01101000000111000001110101111000
204,104.28.29.46,2.63,01101000000111000001110100101110
205,104.28.31.112,6.19,01101000000111000001111101110000
206,104.28.6.174,1.63,01101000000111000000011010101110
207,104.28.6.69,1.2,01101000000111000000011001000101
208,104.28.7.226,0.18,01101000000111000000011111100010
209,104.28.7.30,2.11,01101000000111000000011100011110
210,104.28.9.20,5.9,01101000000111000000100100010100
211,104.31.66.176,10.9,01101000000111110100001010110000
212,104.31.67.176,1.14,01101000000111110100001110110000
213,104.31.67.73,3.29,01101000000111110100001101001001
214,104.31.68.23,5.04,01101000000111110100010000010111
215,104.31.71.147,5.14,01101000000111110100011110010011
216,104.31.76.215,0.4,01101000000111110100110011010111
217,104.31.77.48,3.6,01101000000111110100110100110000
218,104.31.81.245,0.71,01101000000111110101000111110101
219,104.31.81.31,2.13,01101000000111110101000100011111
220,104.31.82.195,2.13,01101000000111110101001011000011
221,104.31.82.227,6.12,01101000000111110101001011100011
222,104.31.84.214,0.61,01101000000111110101010011010110
223,104.31.84.39,5.11,01101000000111110101010000100111
224,104.31.87.108,1.12,01101000000111110101011101101100
225,104.31.89.109,1.15,01101000000111110101100101101101
226,104.31.92.139,22.0,01101000000111110101110010001011
227,104.31.95.109,3.49,01101000000111110101111101101101
228,104.41.228.100,4.5,01101000001010011110010001100100
229,104.68.180.132,0.48,01101000010001001011010010000100
230,104.68.185.30,0.7949999999999999,01101000010001001011100100011110
231,104.70.99.145,1.72,01101000010001100110001110010001
232,104.72.164.194,0.54,01101000010010001010010011000010
233,104.72.173.153,1.4,01101000010010001010110110011001
